show_id,platform,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s2164,hulu,TV Show,The Amazing World of Gumball,,,"United Kingdom, Ireland, United States, Germany, Japan, France","July 5, 2019",2011,TV-Y7,6 Seasons,"Cartoons, Comedy, Family","Gumball’s world is pretty run-of-the-mill. He’s chased around school by a T-Rex. He has a friend named Anton who’s a piece of toast. He’s got a crush on Penny, a peanut with antlers. His dad is a 6’4” bunny. His mom works at a Rainbow Factory. And his brother is a goldfish named Darwin. Yup, everything looks perfectly normal here."
s2165,hulu,TV Show,The Venture Bros.,,,United States,"July 5, 2019",2003,TV-14,7 Seasons,"Adult Animation, Comedy","The Venture Brothers are two all-American teens who spend most their time hopping from one adventure to the next. Along with their caustic and self-centered father, Dr. Venture, the brothers have the uber-spy Brock Samson to protect them. Beset on all sides, the Venture Brothers do all they can just to make it out alive."
s2168,hulu,TV Show,Chernobyl,,,,"July 2, 2019",2019,TV-MA,1 Season,"Drama, History","Starring Jared Harris, Stellan Skarsgard and Emily Watson, 'Chernobyl' tells the story of the 1986 nuclear accident in this HBO Miniseries."
s2170,hulu,TV Show,Nightwatch Nation,,,,"July 1, 2019",2018,TV-14,1 Season,"Documentaries, Reality","""Nightwatch Nation,"" the new nonfiction series from executive producer Dick Wolf and 44 Blue Productions, follows EMTs in Yonkers, New York, Austin, Texas, Tucson, Arizona and Baton Rouge, Louisiana as these real-life heroes risk their lives to work the busiest and most unnerving shift of the day, the overnight."
s2171,hulu,TV Show,Project Runway,,,,"July 1, 2019",2005,TV-PG,9 Seasons,"Lifestyle & Culture, Reality","Project Runway is a reality competition where fashion designers fight for their big break in the fashion industry. Designers compete in weekly challenges, presenting their work on the runway."
s2174,hulu,TV Show,Stargate SG-1,,,"United States, Canada","June 29, 2019",1997,TV-14,10 Seasons,"Action, Adventure, Family","Step through the stargate with SG-1, a team of soldiers and scientists, as they travel instantaneously to other planets to explore, forge alliances, defuse crises, establish trade, investigate ancient mysteries, and defend Earth from such hostile forces as the Goa'uld, the Replicators, and the Ori."
s2177,hulu,TV Show,El Jardin De Bronce,,,,"June 23, 2019",2017,TV-MA,2 Seasons,"Drama, International, Latino","When a couple's young child disappears without a trace, a desperate search begins, changing their lives forever, in this HBO Latino series."
s2179,hulu,TV Show,The Bravest Knight,,,,"June 21, 2019",2019,TV-PG,1 Season,"Kids, LGBTQ+","The Bravest Knight is a story of a young pumpkin farmer named Cedric, as he attempts to become the greatest knight who ever lived. Now grown and married to the prince of his dreams, Sir Cedric recounts his fairytale adventures to his adopted daughter Nia, showing her the paths and pitfalls that await her on the way to knighthood. Accompanied by his best friend, a bridge-less troll named Grunt, Cedric's lifelong quest to fulfill his destiny takes him through a world of witches and giants, and ends with the toughest challenge of all: Teaching his daughter to do the same."
s2180,hulu,TV Show,The Riveras,,,United States,"June 21, 2019",2016,TV-PG,2 Seasons,"Latino, Music, Reality","Los Rivera son la familia consentida de la música regional mexicana, pero nunca antes la habían mostrado así. Chiquis y sus hermanos luchan por salir adelante. Con humor y amor logran sus metas."
s2181,hulu,TV Show,Declared,,,,"June 20, 2019",2019,,1 Season,"Documentaries, Sports","A 7-episode docu-series following four NBA prospects in the lead up to the 2019 Draft preparing with NBA skills trainer, Chris Brickley."
